location_id,location_name,city,area
L001,Location-001,Jabalpur,Residential Zone
L002,Location-002,Ujjain,Central Zone
L003,Location-003,Jabalpur,Commercial Zone
L004,Location-004,Nagpur,Outer Ring
L005,Location-005,Bhopal,Commercial Zone
L006,Location-006,Bhopal,Residential Zone
L007,Location-007,Jabalpur,Central Zone
L008,Location-008,Raipur,Outer Ring
L009,Location-009,Nagpur,Residential Zone
L010,Location-010,Nagpur,Residential Zone
L011,Location-011,Nagpur,Residential Zone
L012,Location-012,Jabalpur,Industrial Area
L013,Location-013,Bhopal,Central Zone
L014,Location-014,Ujjain,Industrial Area
L015,Location-015,Ujjain,Central Zone
L016,Location-016,Ujjain,Central Zone
L017,Location-017,Nagpur,Outer Ring
L018,Location-018,Nagpur,Outer Ring
L019,Location-019,Indore,Outer Ring
L020,Location-020,Indore,Commercial Zone
L021,Location-021,Sagar,Outer Ring
L022,Location-022,Bhopal,Residential Zone
L023,Location-023,Gwalior,Residential Zone
L024,Location-024,Indore,Central Zone
L025,Location-025,Ujjain,Industrial Area
L026,Location-026,Nagpur,Commercial Zone
L027,Location-027,Sagar,Industrial Area
L028,Location-028,Nagpur,Industrial Area
L029,Location-029,Gwalior,Central Zone
L030,Location-030,Sagar,Outer Ring
L031,Location-031,Raipur,Central Zone
L032,Location-032,Jabalpur,Central Zone
L033,Location-033,Gwalior,Industrial Area
L034,Location-034,Sagar,Outer Ring
L035,Location-035,Ujjain,Outer Ring
L036,Location-036,Jabalpur,Commercial Zone
L037,Location-037,Ujjain,Commercial Zone
L038,Location-038,Ujjain,Outer Ring
L039,Location-039,Indore,Central Zone
L040,Location-040,Raipur,Industrial Area
L041,Location-041,Ujjain,Central Zone
L042,Location-042,Jabalpur,Central Zone
L043,Location-043,Jabalpur,Commercial Zone
L044,Location-044,Gwalior,Residential Zone
L045,Location-045,Nagpur,Central Zone
L046,Location-046,Ujjain,Residential Zone
L047,Location-047,Raipur,Residential Zone
L048,Location-048,Indore,Industrial Area
L049,Location-049,Raipur,Outer Ring
L050,Location-050,Ujjain,Commercial Zone
L051,Location-051,Nagpur,Residential Zone
L052,Location-052,Sagar,Outer Ring
L053,Location-053,Bhopal,Industrial Area
L054,Location-054,Nagpur,Commercial Zone
L055,Location-055,Indore,Outer Ring
L056,Location-056,Raipur,Central Zone
L057,Location-057,Raipur,Central Zone
L058,Location-058,Nagpur,Commercial Zone
L059,Location-059,Sagar,Commercial Zone
L060,Location-060,Sagar,Outer Ring
L061,Location-061,Jabalpur,Outer Ring
L062,Location-062,Nagpur,Commercial Zone
L063,Location-063,Bhopal,Industrial Area
L064,Location-064,Indore,Residential Zone
L065,Location-065,Bhopal,Industrial Area
L066,Location-066,Jabalpur,Residential Zone
L067,Location-067,Nagpur,Industrial Area
L068,Location-068,Raipur,Central Zone
L069,Location-069,Jabalpur,Commercial Zone
L070,Location-070,Jabalpur,Commercial Zone
L071,Location-071,Indore,Commercial Zone
L072,Location-072,Ujjain,Industrial Area
L073,Location-073,Sagar,Central Zone
L074,Location-074,Bhopal,Residential Zone
L075,Location-075,Ujjain,Central Zone
L076,Location-076,Raipur,Industrial Area
L077,Location-077,Indore,Industrial Area
L078,Location-078,Gwalior,Residential Zone
L079,Location-079,Indore,Central Zone
L080,Location-080,Gwalior,Outer Ring
